scaffold,count
C1CCNCC1,8
c1ccc2c(c1)OCCO2,4
c1nn2c(c1N1CCCOCC1)OCCC2,3
c1csc(N2CCCOCC2)c1,3
c1cc2c(cc1N1CCCOCC1)OCCO2,3
c1cc2c(cc1N1CCCCC1)OCCO2,2
c1cc2c(cc1N1CCCCCC1)OCCO2,2
[CH]1CCN(c2ccc3c(c2)OCCO3)C1,2
c1ccsc1,2
c1ccc(OC2CCNCC2)cc1,2
c1csc(-c2ccc3c(c2)OCCO3)c1,2
[CH]1CCCN(c2ccc3c(c2)OCCO3)C1,2
c1nn2c(c1N1CCCCCC1)OCCC2,2
C1CCCNCC1,2
C1CCCN(CCN2CCCOCC2)CC1,2
c1ccc(-c2ccc3c(c2)OCCO3)nc1,2
c1cnc(-c2ccc3c(c2)OCCO3)cn1,1
c1ccc(-c2cnn3c2OCCC3)cc1,1
c1ccc(-c2cccnc2)cc1,1
c1ccc(N2CCCOCC2)cc1,1
c1ccc(N2C[C]3CNC[C@@H]3C2)cc1,1
c1ccccc1,1
c1cn2ccc(N3CCCOCC3)cc2n1,1
C1CC(C2CCNCC2)CCN1,1
c1cncc(C2CCNCC2)c1,1
c1cncc(-c2ccc3c(c2)OCCO3)c1,1
c1cncc(-n2cccn2)c1,1
c1cc2n(n1)CCN(c1cnn3c1OCCC3)C2,1
c1cncc(N2CCn3nccc3C2)c1,1
c1cncc(OC2CCNCC2)c1,1
c1cnn(-c2ccc3c(c2)OCCO3)c1,1
c1cnn(-c2ccc3c(c2)OCCO3)n1,1
c1coc(-c2ccc3c(c2)OCCO3)c1,1
c1csc(N2CCOCC2)c1,1
c1ncc(N2CCCOCC2)[nH]1,1
c1ncc(N2CCOCC2)[nH]1,1
c1nn2c(c1C1CCNCC1)OCCC2,1
c1nn2c(c1N1CCCCC1)OCCC2,1
c1nn2c(c1N1CCOCC1)OCCC2,1
c1ccc(-c2ccc3c(c2)OCCO3)cc1,1
c1cc2c(cc1N1CCNCC1)OCCO2,1
c1cc2n(n1)CCCO2,1
c1cc2c(cc1N1C[C@H]3CNC[C@H]3C1)OCCO2,1
C1CC2(C1)C[C@@H]1CCO[C@@H]12,1
C1CCN(CCCN2CCCOCC2)C1,1
C1CCN(CCN2CCCOCC2)CC1,1
C1CCc2c(n[nH]c2N2CCCOCC2)C1,1
C1CNCCOC1,1
C1COCCN(C2CCNCC2)C1,1
C1COCCN(CC2CCNCC2)C1,1
C1COCCN(CCC2CCNCC2)C1,1
C1COCCN(CCN2CCCOCC2)C1,1
C1COCCN(OC2CCNCC2)C1,1
C1COCCN1,1
O=C(c1cnn2c1OCCC2)N1CCCOCC1,1
O=C1OCC[C@@]12CCN(c1ccccc1)C2,1
O=C1OCC[C@@]12CCN(c1cccnc1)C2,1
O=C1OCC[C@@]12CCN(c1cccs1)C2,1
O=C1OCC[C@@]12CCN(c1ccnnc1)C2,1
O=C1OCC[C@@]12CCNC2,1
O=c1[nH]ncn1-c1cccnc1,1
[CH]1CCCN(c2cccs2)C1,1
[CH]1CCCN(c2cnn3c2OCCC3)C1,1
c1cc(-c2ccc3c(c2)OCCO3)ccn1,1
c1cc(-c2ccc3c(c2)OCCO3)cnn1,1
c1cc(-c2ccc3c(c2)OCCO3)on1,1
c1cc2c(cc1C1CCNCC1)OCCO2,1
c1cc2c(cc1N1CCCC1)OCCO2,1
c1cc2c(cc1N1CCCC3(CC3)C1)OCCO2,1
C1CC(OC2CCNCC2)CCN1,1
c1cc2c(cc1N1CCOCC1)OCCO2,1
c1cc2c(cc1N1CCSCC1)OCCO2,1
c1nocc1N1CCC[C@H]2CNCC[C@H]21,1
