smi,r,fr_0,ci_beta
N#CC1(C(=O)C2=Cc3ccccc3OC2)CCC1,2.2400472164154053,2.2400472164154053,3.438397169113159
Clc1cccc(CCCCCc2ccccc2)c1,2.2304186820983887,2.2304186820983887,36.04014205932617
Fc1ccc(CCCCCc2ccccc2)cc1,2.228877305984497,2.228877305984497,43.22768783569336
c1ccc(CCCCCCc2ccccn2)cc1,2.227766990661621,2.227766990661621,52.31254959106445
Clc1ccc(CCCCCc2ccccc2)cc1,2.2267918586730957,2.2267918586730957,44.86763381958008
c1ccc(CCCCCCc2ccncc2)cc1,2.2237253189086914,2.2237253189086914,26.103347778320312
c1ccc(CCCCCCc2ccccn2)nc1,2.223513603210449,2.223513603210449,52.46125793457031
c1cc(CCCCCCc2ccncc2)ccn1,2.2234678268432617,2.2234678268432617,63.73393630981445
Clc1cc(CCCCCc2ccccc2)ccn1,2.2226922512054443,2.2226924896240234,61.255855560302734
N#Cc1ccc(CCCCc2ccccc2)cn1,2.222626209259033,2.222626209259033,47.34209442138672
c1ccc(CCCCCCc2ccncc2)nc1,2.221764326095581,2.221764326095581,55.16190719604492
Fc1ccc(CCCCCc2ccccn2)cc1,2.2213940620422363,2.2213940620422363,39.81211853027344
Clc1cccc(CCCCCc2ccccn2)c1,2.2207353115081787,2.2207350730895996,20.361011505126953
Fc1ccc(CCCCCc2ccccn2)cn1,2.2206921577453613,2.2206921577453613,45.7850341796875
Fc1ccc(CCCCCc2ccccc2)cn1,2.2202036380767822,2.2202036380767822,51.613983154296875
Clc1ccc(CCCCCc2cccnc2)cc1,2.220179796218872,2.220179796218872,57.56193923950195
Fc1cccc(CCCCc2ccccc2)c1F,2.2194440364837646,2.2194440364837646,30.848365783691406
O=C(C1=Cc2ccccc2OC1)c1ccccc1,2.21927547454834,2.21927547454834,6.557437896728516
c1ccc(NCCCCCc2ccccn2)cc1,2.2177796363830566,2.2177796363830566,55.073917388916016
Fc1ccc(CCCCc2ncccc2F)cc1,2.2177090644836426,2.2177090644836426,28.795238494873047
Fc1cccnc1CCCCCc1ccccc1,2.2176578044891357,2.2176578044891357,54.56574249267578
N#C[C@H]1CCCN(CCCCc2ccccc2)C1,2.217252254486084,2.217252254486084,59.79133605957031
Clc1ccccc1CCCCCc1ccccc1,2.2171666622161865,2.2171669006347656,52.266448974609375
O[C@@H]1CCCN(NCCCc2ccccc2)CC1,2.215935707092285,2.215935707092285,30.152164459228516
Fc1ccc(CCCCCc2ccncc2)cn1,2.2156670093536377,2.2156670093536377,53.296268463134766
c1ccc(CCCCCNc2ccncc2)cc1,2.215421199798584,2.215421199798584,56.48902130126953
c1ccc(NCCCCCc2ccncc2)cc1,2.215402364730835,2.215402364730835,43.72324752807617
Fc1cccnc1CCCCCc1ccncc1,2.215151786804199,2.215151786804199,48.04231643676758
Fc1cccnc1CCCCCc1ccccn1,2.214371681213379,2.214371681213379,63.44395446777344
Fc1ccc(CCCCNc2ccccc2)cc1,2.213676929473877,2.213676929473877,21.211477279663086
Clc1cccc(CCCCCc2cccnc2)c1,2.2132205963134766,2.2132205963134766,40.4235954284668
Cc1cccc(CCCCCc2ccccc2)n1,2.2124483585357666,2.2124483585357666,46.57260513305664
Fc1ccc(CCCCCc2ccncc2)cc1,2.2123799324035645,2.2123799324035645,40.62424087524414
Cc1cccc(C(=O)CCCc2ccccc2)n1,2.2123208045959473,2.2123208045959473,39.234710693359375
O[C@H]1CCCN(CCCCc2ccccc2)CC1,2.2118468284606934,2.2118468284606934,16.214948654174805
N#Cc1cc(CCCCc2ccccn2)ccn1,2.21173095703125,2.21173095703125,48.76939010620117
c1ccc(CCCCCCc2ccccc2)cc1,2.211637258529663,2.211637258529663,40.23622131347656
O[C@@H]1CCCN(CCCNc2ccccc2)CC1,2.211576461791992,2.211576461791992,50.96997833251953
c1ccc(CCCCCCc2ccnnc2)cc1,2.211270332336426,2.211270332336426,57.02278137207031
CC1CCN(NCCCCc2ccccc2)CC1,2.211209297180176,2.211209297180176,63.266998291015625
Clc1ccc(CCCCCc2ccccn2)cc1,2.2110700607299805,2.2110700607299805,55.330657958984375
Nc1ccnc(CCCCCc2ccccc2)c1,2.2108848094940186,2.2108848094940186,45.659996032714844
C[C@@H]1CC[C@H](NCCCCCc2ccccc2)C1,2.2106518745422363,2.2106518745422363,60.489627838134766
Fc1ccc(CCCCc2ncccc2F)cn1,2.210530996322632,2.210531234741211,24.13524055480957
N#Cc1cc(CCCCc2ccncc2)ccn1,2.2102794647216797,2.2102794647216797,11.303871154785156
