index,smiles,status,error,target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling
0,N#CC1(C(=O)C2=Cc3ccccc3OC2)CCC1,ok,,N#CC1(C(=O)C2=Cc3ccccc3OC2)CCC1,46.948591232299805,34.59372806549072,62,449,6,21,178,3,0.9865529289315002,True,3,3,3,"BrCCCBr, CCOC(=O)C1=Cc2ccccc2OC1, CC=NO",,zinc;zinc;zinc,{'uspto': 448},"{'expansion_calls': 345, 'reactants_generations': 4536, 'iterations': 100}"
1,Clc1cccc(CCCCCc2ccccc2)c1,ok,,Clc1cccc(CCCCCc2ccccc2)c1,19.4255051612854,1.554368019104004,4,765,6,27,468,20,0.9976287063411217,True,1,2,2,"C=CCCCc1ccccc1, Clc1cccc(Br)c1",,zinc;zinc,{'uspto': 764},"{'expansion_calls': 314, 'reactants_generations': 1698, 'iterations': 100}"
2,Fc1ccc(CCCCCc2ccccc2)cc1,ok,,Fc1ccc(CCCCCc2ccccc2)cc1,23.18851923942566,0.27187514305114746,3,632,6,30,377,20,0.9976287063411217,True,1,2,2,"C=CCCCc1ccccc1, Fc1ccc(Br)cc1",,zinc;zinc,{'uspto': 631},"{'expansion_calls': 270, 'reactants_generations': 2082, 'iterations': 100}"
3,c1ccc(CCCCCCc2ccccn2)cc1,ok,,c1ccc(CCCCCCc2ccccn2)cc1,48.15980911254883,0.8301599025726318,3,697,6,30,402,25,0.994039853898894,True,2,3,3,"Cc1ccccn1, O=C1CCC(=O)N1Br, OCCCCCc1ccccc1",,zinc;zinc;zinc,{'uspto': 696},"{'expansion_calls': 315, 'reactants_generations': 2025, 'iterations': 100}"
4,Clc1ccc(CCCCCc2ccccc2)cc1,ok,,Clc1ccc(CCCCCc2ccccc2)cc1,24.118674993515015,0.6279809474945068,4,760,6,24,529,34,0.9976287063411217,True,1,2,2,"C=CCCCc1ccccc1, Clc1ccccc1",,zinc;zinc,{'uspto': 759},"{'expansion_calls': 247, 'reactants_generations': 1737, 'iterations': 100}"
5,c1ccc(CCCCCCc2ccncc2)cc1,ok,,c1ccc(CCCCCCc2ccncc2)cc1,25.036940813064575,3.833744764328003,8,447,6,25,223,48,0.994039853898894,True,2,3,3,"Cc1ccccc1, BrCCCCBr, Cc1ccncc1",,zinc;zinc;zinc,{'uspto': 446},"{'expansion_calls': 253, 'reactants_generations': 2031, 'iterations': 100}"
6,c1ccc(CCCCCCc2ccccn2)nc1,ok,,c1ccc(CCCCCCc2ccccn2)nc1,18.94552707672119,0.4017980098724365,5,566,6,26,166,14,0.9865529289315002,True,3,3,3,"Brc1ccccn1, CNOC, O=C(O)CCCCCc1ccccn1",,zinc;zinc;zinc,{'uspto': 565},"{'expansion_calls': 400, 'reactants_generations': 1222, 'iterations': 100}"
7,c1cc(CCCCCCc2ccncc2)ccn1,ok,,c1cc(CCCCCCc2ccncc2)ccn1,27.18086004257202,2.384561061859131,5,502,6,31,188,34,0.994039853898894,True,2,3,3,"Cc1ccncc1, BrCCCCBr, Cc1ccncc1",,zinc;zinc;zinc,{'uspto': 501},"{'expansion_calls': 344, 'reactants_generations': 2429, 'iterations': 100}"
8,Clc1cc(CCCCCc2ccccc2)ccn1,ok,,Clc1cc(CCCCCc2ccccc2)ccn1,15.383103132247925,1.1143240928649902,3,439,6,21,174,27,0.9976287063411217,True,1,2,2,"C=CCCCc1ccccc1, Clc1cc(Br)ccn1",,zinc;zinc,{'uspto': 438},"{'expansion_calls': 278, 'reactants_generations': 1335, 'iterations': 100}"
9,N#Cc1ccc(CCCCc2ccccc2)cn1,ok,,N#Cc1ccc(CCCCc2ccccc2)cn1,26.263598918914795,2.001199960708618,6,387,6,32,119,29,0.9976287063411217,True,1,2,2,"C=CCCc1ccccc1, N#Cc1ccc(Br)cn1",,zinc;zinc,{'uspto': 386},"{'expansion_calls': 301, 'reactants_generations': 2443, 'iterations': 100}"
10,c1ccc(CCCCCCc2ccncc2)nc1,ok,,c1ccc(CCCCCCc2ccncc2)nc1,20.68424391746521,0.06829214096069336,1,469,6,32,148,26,0.994039853898894,True,2,3,3,"Cc1ccccn1, BrCCCCBr, Cc1ccncc1",,zinc;zinc;zinc,{'uspto': 468},"{'expansion_calls': 340, 'reactants_generations': 1719, 'iterations': 100}"
11,Fc1ccc(CCCCCc2ccccn2)cc1,ok,,Fc1ccc(CCCCCc2ccccn2)cc1,27.341511964797974,0.8082089424133301,4,613,6,30,277,30,0.994039853898894,True,2,2,2,"Cc1ccccn1, O=C(CCCBr)c1ccc(F)cc1",,zinc;zinc,{'uspto': 612},"{'expansion_calls': 355, 'reactants_generations': 2284, 'iterations': 100}"
12,Clc1cccc(CCCCCc2ccccn2)c1,ok,,Clc1cccc(CCCCCc2ccccn2)c1,27.24758005142212,3.5398240089416504,7,766,6,26,428,24,0.994039853898894,True,2,3,3,"Cc1ccccn1, O=C1CCC(=O)N1Br, OCCCCc1cccc(Cl)c1",,zinc;zinc;zinc,{'uspto': 765},"{'expansion_calls': 355, 'reactants_generations': 1975, 'iterations': 100}"
13,Fc1ccc(CCCCCc2ccccn2)cn1,ok,,Fc1ccc(CCCCCc2ccccn2)cn1,25.23818016052246,0.9134001731872559,4,680,6,37,316,30,0.994039853898894,True,2,3,3,"Fc1ccc(Br)cn1, C=CCCBr, Cc1ccccn1",,zinc;zinc;zinc,{'uspto': 679},"{'expansion_calls': 379, 'reactants_generations': 1716, 'iterations': 100}"
14,Fc1ccc(CCCCCc2ccccc2)cn1,ok,,Fc1ccc(CCCCCc2ccccc2)cn1,18.431509971618652,0.23671436309814453,3,415,6,32,182,36,0.9976287063411217,True,1,2,2,"C=CCCCc1ccccc1, Fc1ccc(Br)cn1",,zinc;zinc,{'uspto': 414},"{'expansion_calls': 252, 'reactants_generations': 1549, 'iterations': 100}"
