smi,r,fr_0,ci_beta,resolve_score
C=CCSCNCOCOCOCCC(C)(C)C,2.201549530029297,2.201549530029297,57.21272277832031,3.014817953109741
CSCCOCOCOCOCCOCC(F)F,2.1908884048461914,2.1908884048461914,59.93645477294922,2.9769046306610107
FC(F)CNCOCCOCOCSCC(F)F,2.1820640563964844,2.1820640563964844,41.70331573486328,3.0282554626464844
C=CCOCOCCOCOCCC(C)(C)C,2.1754369735717773,2.1754369735717773,48.381317138671875,3.029423713684082
CSSCOCOCOCCOCC(C)(C)C,2.156574010848999,2.156574010848999,59.04873275756836,2.943690061569214
C=CCOCSOCOCCSCC[C@H]1COCO1,2.15478253364563,2.15478253364563,59.3008918762207,3.0499038696289062
C=CCNCSCSOCSCC[C]1COCO1,2.1466474533081055,2.1466474533081055,56.96847152709961,3.1077911853790283
C=CCCCOCNCOCSC[C]1COCO1,2.1465907096862793,2.1465907096862793,58.705787658691406,3.1192610263824463
CC(C)(C)CCOCOCSCSC(C)(C)C,2.14603853225708,2.14603853225708,62.206241607666016,2.9862899780273438
CC(C)(C)CCOCOCOCNSCC(F)F,2.143810510635376,2.143810510635376,63.37517166137695,2.986384153366089
CSSCSCOCOCCOCC(C)(C)C,2.137871503829956,2.137871503829956,42.88148498535156,3.0034916400909424
CC(C)(C)CCOCOCOCC[C]1COCO1,2.1355109214782715,2.1355109214782715,41.54127502441406,2.887857437133789
CC(C)(C)CCSCSCOCCOCC(C)(C)C,2.1301450729370117,2.130145311355591,44.40470886230469,3.043111562728882
C=C(C)[C](C)CCOCSCSCOCOSC,2.1286063194274902,2.1286063194274902,56.48341369628906,3.0107269287109375
C[C@H](CF)COCOCCOCCOCC(C)(C)C,2.1275100708007812,2.1275100708007812,52.12613296508789,3.0575313568115234
C=C(C)[C](C)OCOCCOCSCS[C](C)CC,2.1229262351989746,2.1229262351989746,58.26699447631836,3.078653335571289
C=CCOCOCOCONCSCC=C,2.1177408695220947,2.1177408695220947,52.6015739440918,2.9842705726623535
CCCOCCSCNOCOCC[C]1COCO1,2.117382526397705,2.117382526397705,56.66454315185547,3.0694549083709717
CC(C)(C)CSCCOCNOCC[C@H]1COCO1,2.1170573234558105,2.1170573234558105,47.15903854370117,2.936922788619995
C=CCOCOCCOCCOCCOCCC,2.1161890029907227,2.1161890029907227,35.39664077758789,3.203486919403076
CC[C](C)SCOCOCCSCSCC(C)(C)C,2.1154842376708984,2.1154842376708984,41.20375061035156,3.070175886154175
C=CCSCOCSCCOCCC[C]1COCO1,2.11419677734375,2.11419677734375,18.14304542541504,3.09922456741333
CC(C)(C)CCNCOCOCS[C]1COCO1,2.1042168140411377,2.1042168140411377,60.567481994628906,2.9949774742126465
CC(C)(C)CCOCSCCSCOc1ccoc1,2.100189208984375,2.100189208984375,33.2083854675293,3.099379539489746
CC[C](C)CCOCCOCSCO[C@H](C)CF,2.0968737602233887,2.0968737602233887,62.106136322021484,3.170602321624756
CSCCNCOCCOCCSC[C](C)CF,2.0906665325164795,2.0906665325164795,36.64361572265625,3.1667230129241943
CC(C)(C)CSCCNCOCCOC(C)(C)C,2.090271472930908,2.090271472930908,39.1585578918457,3.1420347690582275
CC[C](C)CCOCOCOCNCS[C@H](C)CF,2.0895943641662598,2.0895943641662598,45.49842071533203,3.08065128326416
C=CCOCOSCCOCO[C@H]1COCO1,2.088000774383545,2.088000774383545,34.075584411621094,2.9821438789367676
CC[C](C)NCSNCOCOCC[C@H]1COCO1,2.0843749046325684,2.0843749046325684,56.148738861083984,3.0315287113189697
CC(C)(C)COCOCOCNSCC(C)(C)C,2.083864212036133,2.083864212036133,32.51693344116211,2.680800437927246
CS[C@H](C)COCOCOCCOCCC(C)(C)C,2.082650661468506,2.082650661468506,49.11751174926758,3.0922679901123047
CC[C](C)CCSSCOCCOCC(C)(C)C,2.082646369934082,2.082646369934082,62.77275848388672,3.172895669937134
C=CCOCNOCOCOCC(C)(C)C,2.082146644592285,2.082146644592285,39.42454528808594,2.7630012035369873
C=CCOCOCCSCOCS[C@@H](C)CC,2.079641819000244,2.079641819000244,54.888771057128906,3.184701919555664
CSCCSCCOCCCSCC[C]1COCO1,2.0787010192871094,2.0787010192871094,40.94600296020508,3.102795124053955
CSCOCCOCCSCOCCOSC,2.077066659927368,2.077066659927368,54.40584182739258,3.1297154426574707
OCCCOCCCSCCOCC[C@H]1COCO1,2.077024459838867,2.077024221420288,27.327468872070312,3.1357898712158203
CSOCOCCOCCOCCN1CCOC1,2.072695255279541,2.072695255279541,62.12060546875,3.178149461746216
C=CCCOCSCOCCOCCC(C)(C)C,2.070352792739868,2.070352792739868,42.319271087646484,3.2131905555725098
CC[C](C)CCCOCOCCSCOCSC,2.0656163692474365,2.0656163692474365,41.034202575683594,3.1948323249816895
CSCSCOCOCCOCC(C)(C)C,2.064288377761841,2.064288377761841,61.589412689208984,2.8902225494384766
C=CCNNCOCCSCOCC(C)(C)C,2.0634660720825195,2.0634660720825195,15.819012641906738,3.165053129196167
CC[C](C)COCOCSCOCO[C@@H](C)CC,2.0630710124969482,2.063070774078369,46.83670425415039,3.153846263885498
C[C@H](CF)SCCOCCOCCSCC(C)(C)C,2.0627634525299072,2.0627634525299072,42.27641677856445,3.160555601119995
CC[C@H](C)SCCOCSCSCOCC(C)(C)C,2.061232328414917,2.061232328414917,48.136009216308594,3.1450791358947754
CC[C](C)CCOCOCSCCC[C@H](C)CF,2.0592715740203857,2.0592715740203857,34.81137466430664,3.197605848312378
C[C@@H](N)OCCOCOCCOCCC(C)(C)C,2.0580437183380127,2.0580437183380127,55.32221221923828,3.187775135040283
CC[C@H](C)CCOCNCOCOCC[C@@H](C)CC,2.055854558944702,2.055854558944702,50.788021087646484,3.20849347114563
C=CCOCNNCSCCOCC[C](C)CC,2.0521039962768555,2.0521039962768555,38.397647857666016,3.240220069885254
CC(C)(CO)COCCSCOCCSC(C)(C)C,2.0519793033599854,2.0519793033599854,45.780738830566406,3.088825225830078
C=C(C)[C](C)SCOCCNCOCCSCSC,2.0517749786376953,2.0517749786376953,20.598773956298828,3.1646928787231445
CC[C](C)CSCOCCOCSCCCSC,2.0514068603515625,2.0514068603515625,50.466739654541016,3.221322774887085
C=CCSCNCCOCNCOCCSC,2.0496723651885986,2.0496723651885986,22.28468132019043,3.212287425994873
C[C@H](CF)CSCCCOCNC[C]1COCO1,2.049671173095703,2.049671173095703,30.657556533813477,3.088001012802124
CSCCOCOCCOCCCCC(C)(C)C,2.0490875244140625,2.0490875244140625,19.268714904785156,3.204883098602295
C[C@H](CF)CCSCCOCCSCC(C)(C)C,2.0489501953125,2.048950433731079,50.837825775146484,3.220679998397827
CC[C](C)CSCOCOCNOCC[C@H]1COCO1,2.0488569736480713,2.0488569736480713,44.40056610107422,2.97477388381958
C=CCOCCOCSCSCCSCSC,2.048783779144287,2.048783779144287,33.72998809814453,3.1994900703430176
CC[C@H](C)COCNCCOCCN1CCOC1,2.0486960411071777,2.0486960411071777,14.27352523803711,3.1973559856414795
CSCSCSCCNCOCOCC(F)F,2.0471391677856445,2.0471391677856445,37.53462219238281,3.14479660987854
CSCCCOCOCSCSCOCC(F)F,2.0457348823547363,2.0457348823547363,27.840600967407227,3.197878360748291
C[C](N)SCOCCSCOCCC(C)(C)C,2.0450117588043213,2.0450117588043213,48.96122741699219,3.1549184322357178
C=CCCSCOCCOCSC[C](C)CC,2.043421983718872,2.043422222137451,51.042972564697266,3.2220988273620605
CC[C@H](C)NCOCOCSCCS[C]1COCO1,2.0428426265716553,2.0428426265716553,57.45811080932617,3.1371195316314697
CC[C](C)CNCSCCCOCOCC(C)(C)C,2.0408804416656494,2.0408804416656494,45.03963851928711,3.1705310344696045
C[C](CF)CSCOCNOCCOCCC(C)(C)C,2.040701150894165,2.040701150894165,58.818115234375,3.047443151473999
C=CCCCOCOCCOCCOCC=C,2.0404953956604004,2.0404953956604004,54.4847526550293,3.2505555152893066
C[C@H](CF)COCCOCSCCC(C)(C)C,2.0398781299591064,2.0398781299591064,48.005428314208984,3.1746106147766113
CCCCOCOCSCCOCCC(C)(C)C,2.038405418395996,2.038405418395996,52.6825065612793,3.2367796897888184
C=CCSCCOCCCOCO[C](C)CF,2.0372095108032227,2.0372095108032227,28.200838088989258,3.198793649673462
C=CCNOCOCCNNCSCC(C)(C)C,2.036371946334839,2.036371946334839,26.729045867919922,3.2232260704040527
CCCSCCOCCSCOC[C](C)CF,2.0362794399261475,2.0362794399261475,61.576656341552734,3.2011842727661133
C=CCSCSCOCCCCOCC(C)(C)C,2.034646511077881,2.034646511077881,44.74212646484375,3.234103202819824
CC[C](C)CCCNCOCOC[C@@H](C)CC,2.034468173980713,2.034468173980713,45.0450439453125,3.216634750366211
C=CCOCOCCCOSCCSCC(C)(C)C,2.0343480110168457,2.0343480110168457,25.29849624633789,3.208108901977539
CSCCSCCOCOCCO[C](C)CF,2.0323266983032227,2.0323266983032227,48.71882629394531,3.134896755218506
CC(C)(C)OCSCCOCCSCS[C@H]1COCO1,2.0267364978790283,2.0267364978790283,54.66510772705078,3.049563407897949
C[C@H](CF)CCSCOCNCOCOC(C)(C)C,2.0258796215057373,2.0258796215057373,52.1257438659668,3.1761488914489746
CC[C](C)SCOCCNCCSCN1CCOC1,2.0250797271728516,2.0250797271728516,33.51863479614258,3.227642297744751
CC[C@H](C)OCSCOCSCCOC(C)(C)C,2.0238585472106934,2.0238585472106934,63.41242599487305,3.2372326850891113
CC[C](C)SCOCNCOCOCCC(C)(C)CO,2.023726463317871,2.023726463317871,38.78558349609375,3.0441734790802
CCCOSCCCCSSCC[C@H]1COCO1,2.023498058319092,2.023498058319092,14.128789901733398,3.227837085723877
CC[C@H](C)CCSCOCOCOCCOSC,2.0233187675476074,2.0233187675476074,44.89799499511719,3.2530272006988525
C=CCSCCOCSCCOCSCC=C,2.0229103565216064,2.0229103565216064,49.31005096435547,3.249445676803589
C=CCOCCCSSCOCCC[C]1COCO1,2.022325277328491,2.022325277328491,56.27629852294922,3.2174060344696045
C[C](N)COCNCOCSCC(C)(C)C,2.021482467651367,2.021482467651367,40.42327880859375,3.036879777908325
CC[C](C)CSCCOCOCNCCCCO,2.018704414367676,2.018704414367676,62.22001647949219,3.263075828552246
CSCCCCOCOCSCCC[C@H]1COCO1,2.016862392425537,2.016862392425537,48.335628509521484,3.179285764694214
CC[C](C)CONNCCOCCOCC(C)(C)C,2.0162811279296875,2.0162811279296875,27.080238342285156,3.1031835079193115
C=CCCCOCOCOOCNCC(C)(C)C,2.0160698890686035,2.0160698890686035,21.403888702392578,3.2498791217803955
C[C@@H](CF)COCSCCCOCC(C)(C)C,2.0142040252685547,2.0142040252685547,60.33099365234375,3.1887288093566895
C=CCCNCCOCOCNOCC(C)(C)C,2.014077663421631,2.014077663421631,52.544952392578125,3.2723798751831055
CC[C@H](C)CCOCNCCCOCC(C)(C)C,2.0127294063568115,2.0127294063568115,46.12982940673828,3.2517457008361816
CSCSCOOCSCSCC[C](C)CF,2.01141357421875,2.01141357421875,32.16806411743164,3.162534236907959
C[C@H](CF)SCOCCCOCNCC(C)(C)C,2.0111498832702637,2.0111498832702637,28.51019287109375,3.208662748336792
C=C(C)[C](C)CCSCCNCOCO[C@@H](C)N,2.008920431137085,2.008920431137085,27.36209487915039,3.259819507598877
C[C](CF)SCOCCCSCOCCC(C)(C)C,2.008431911468506,2.008431911468506,32.70317459106445,3.17915678024292
C[C](CF)SCSCOCSCCOC[C@H]1COCO1,2.008047342300415,2.008047342300415,59.378028869628906,2.9934096336364746
CC(C)(C)OCSCOCOCCCSC(C)(C)C,2.0077130794525146,2.0077130794525146,43.49798583984375,3.210261344909668
